SKU,LOC,FECHA,UNI
Art02,LOC_089,2019-04-28,9.0
Art02,LOC_089,2019-05-05,13.0
Art02,LOC_089,2019-05-12,13.0
Art02,LOC_089,2019-05-19,15.0
Art02,LOC_089,2019-05-26,17.0
Art02,LOC_089,2019-06-02,13.0
Art02,LOC_089,2019-06-09,13.0
Art02,LOC_089,2019-06-16,14.0
Art02,LOC_089,2019-06-23,12.0
Art02,LOC_090,2019-04-07,1.0
Art02,LOC_090,2019-04-14,2.0
Art02,LOC_090,2019-04-21,7.0
Art02,LOC_090,2019-04-28,3.0
Art02,LOC_090,2019-05-05,3.0
Art02,LOC_090,2019-05-12,1.0
Art02,LOC_090,2019-05-19,5.0
Art02,LOC_090,2019-05-26,3.0
Art02,LOC_090,2019-06-02,4.0
Art02,LOC_090,2019-06-09,4.0
Art02,LOC_090,2019-06-16,2.0
Art02,LOC_090,2019-06-23,3.0
Art02,LOC_091,2019-04-07,4.0
Art02,LOC_091,2019-04-14,1.0
Art02,LOC_091,2019-04-21,6.0
Art02,LOC_091,2019-04-28,1.0
Art02,LOC_091,2019-05-05,3.0
Art02,LOC_091,2019-05-12,2.0
Art02,LOC_091,2019-05-19,2.0
Art02,LOC_091,2019-05-26,3.0
Art02,LOC_091,2019-06-02,4.0
Art02,LOC_091,2019-06-09,2.0
Art02,LOC_091,2019-06-16,3.0
Art02,LOC_091,2019-06-23,6.0
Art02,LOC_092,2019-04-07,0.0
Art02,LOC_092,2019-04-14,1.0
Art02,LOC_092,2019-04-21,1.0
Art02,LOC_092,2019-04-28,1.0
Art02,LOC_092,2019-05-05,0.0
Art02,LOC_092,2019-05-12,2.0
Art02,LOC_092,2019-05-19,2.0
Art02,LOC_092,2019-05-26,0.0
Art02,LOC_092,2019-06-02,2.0
Art02,LOC_092,2019-06-09,1.0
Art02,LOC_092,2019-06-16,2.0
Art02,LOC_092,2019-06-23,2.0
Art02,LOC_093,2019-04-07,2.0
Art02,LOC_093,2019-04-14,5.0
Art02,LOC_093,2019-04-21,11.0
Art02,LOC_093,2019-04-28,17.0
Art02,LOC_093,2019-05-05,5.0
Art02,LOC_093,2019-05-12,10.0
Art02,LOC_093,2019-05-19,6.0
Art02,LOC_093,2019-05-26,4.0
Art02,LOC_093,2019-06-02,2.0
Art02,LOC_093,2019-06-09,3.0
Art02,LOC_093,2019-06-16,4.0
Art02,LOC_093,2019-06-23,9.0
Art02,LOC_094,2019-04-07,6.0
Art02,LOC_094,2019-04-14,7.0
Art02,LOC_094,2019-04-21,11.0
Art02,LOC_094,2019-04-28,8.0
Art02,LOC_094,2019-05-05,2.0
Art02,LOC_094,2019-05-12,2.0
Art02,LOC_094,2019-05-19,6.0
Art02,LOC_094,2019-05-26,2.0
Art02,LOC_094,2019-06-02,11.0
Art02,LOC_094,2019-06-09,5.0
Art02,LOC_094,2019-06-16,4.0
Art02,LOC_094,2019-06-23,4.0
Art02,LOC_095,2019-04-07,4.0
Art02,LOC_095,2019-04-14,9.0
Art02,LOC_095,2019-04-21,10.0
Art02,LOC_095,2019-04-28,4.0
Art02,LOC_095,2019-05-05,5.0
Art02,LOC_095,2019-05-12,4.0
Art02,LOC_095,2019-05-19,4.0
Art02,LOC_095,2019-05-26,5.0
Art02,LOC_095,2019-06-02,6.0
Art02,LOC_095,2019-06-09,4.0
Art02,LOC_095,2019-06-16,3.0
Art02,LOC_095,2019-06-23,0.0
Art02,LOC_096,2019-04-07,1.0
Art02,LOC_096,2019-04-14,1.0
Art02,LOC_096,2019-04-21,2.0
Art02,LOC_096,2019-04-28,0.0
